id,created,updated,title,content,tags,product,topic,locale,answers,creator
1308133,2020-10-11 15:53:25 -0800,2020-10-11T15:53:25Z,73.3.2 thunderbird not syncing with ionos with my windows 10.,"<p>I downloaded Thunderbird up grade 73.3.2 a few days ago and not it is not syncing all my folder in my linked email account on ionos.  Only syncing inbox, junk and sent.  I have a few more folder than those two at ionos. Is there a way to go back to 73.2.2 or what? Thanks </p>",desktop;download-and-install_1;windows-10;firefox-810;,firefox,download-and-install,en-US,"",email14
1308132,2020-10-11 15:40:36 -0800,2020-10-11T15:40:36Z,"Missing Firefox icon in dock, no option to pin","<p>Firefox has disappeared as an icon pinned to the dock.  I can open it, from applications or upon startup.   If I minimize Firefox, it shows as an icon of the last open window only, not the Firefox icon.  Right clicking does not give any option for pinning it either.  </p><p>Possibly related, UBlock has not been able to update either. I uninstalled it, then reinstalled, same issue. </p>",mac-os;desktop;other;firefox-810;firefox-8101;,firefox,other,en-US,"",helen.duvernay
1308130,2020-10-11 15:10:15 -0800,2020-10-11T15:10:15Z,account bloccato,<p>la mail codice conferma account è tornata indietro perchè casella di posta congelata. account bloccato. come si fa a sbloccare? grazie </p>,desktop;privacy-and-security_1;windows-81;firefox-810;,firefox,privacy-and-security,en-US,"",patrizia-rambaldi
1308128,2020-10-11 14:38:01 -0800,2020-10-11T18:37:16Z,"Certs and usability, e.g. Understanding Risk of trusting an Anti-Virus Root CA/Certification Authority","<p>At a basic level, I understand that trusting a cert like this* involves trusting one's antivirus vendor, in this case Kaspersky.   </p><p>I'm hoping to offer some basic info and receive/collect some more advanced info and/or pointers thereto.  More advanced info to help guide users deciding whether to enable this or not. </p><p>To what extent does trusting this cert place more trust than installing Kaspersky in the first place does?  My understanding: When it's installed and in use, web traffic still goes directly between my <em>machine</em> and the normal web server at its normal IP over HTTPS.  But it goes thru part of the Kaspersky software <em>on my machine</em>, where it is unencrypted. It's decrypted and re-encrypted between Firefox and my computer's network interface, and there's relatively little preventing that software from doing nefarious things.  I wonder what difference using an OS configured-by-default or managed to only allow applications to run with limited permissions makes.  My first guess is that the core Kaspersky software installs with root access/ties into the kernel anyway, although if it was exfiltrating data, someone using an external tool like Pi-Hole would probably see something fishy, and be yelling about it and the media would cover it.  So trusting this cert has a fairly small marginal downside.  And of course it enables some security functionality, so there's an upside. But exfiltration could be set to trigger only in very limited circumstances... </p><p>I'm also wondering if Firefox should display a different UI for Antivirus company certs.  I also suspect it makes sense to ship Firefox with these certificates by default, BUT <em>untrusted</em>, instead of not at all.  (The same may go for Let's Encrypt certs too!?) </p><p>I note: jscher2000's advice (copied from [<a href=""https://support.mozilla.org/en-US/questions/1295569"" rel=""nofollow"">https://support.mozilla.org/en-US/que.../1295569</a>] here) is spot on: </p><p>Kaspersky software includes a feature to intercept and filter all of your web browsing. As a ""man in the middle"" the software needs to generate fake site certificates but Firefox is not fooled. </p><p>If you want to keep this feature enabled, you can set Firefox up to trust Kaspersky's fake certificates. There are two methods described in this article: <a href=""https://support.kaspersky.com/14620"" rel=""nofollow"">https://support.kaspersky.com/14620</a> </p><p>If you do not want the software filtering your browsing, you could try this: <a href=""https://support.mozilla.org/ru/kb/kak-ustranit-oshibku-s-kodom-sec_error_unknown_iss#w_kaspersky"" rel=""nofollow"">https://support.mozilla.org/ru/kb/kak-ustranit-oshibku-s-kodom-sec_error_unknown_iss#w_kaspersky</a> </p><p><br> Any advanced / user advanced info and/or pointers? resources?   </p> <ul><li>[about:certificate?cert=MIID5DCCAsygAwIBAgIJQgAAALBfgNUAMA0GCSqGSIb3DQEBCwUAMFYxGTAXBgNVBAoMEEFPIEthc3BlcnNreSBMYWIxOTA3BgNVBAMMMEthc3BlcnNreSBXZWIgQW50aS1WaXJ1cyBDZXJ0aWZpY2F0aW9uIEF1dGhvcml0eTAeFw0yMDA0MTAyMTI0MTZaFw0yMTA0MDkyMTI0MTZaMIGNMQswCQYDVQQGEwJVUzETMBEGA1UECBMKQ2FsaWZvcm5pYTEWMBQGA1UEBxMNTW91bnRhaW4gVmlldzEcMBoGA1UEChMTTW96aWxsYSBDb3Jwb3JhdGlvbjEXMBUGA1UECxMOQ2xvdWQgU2VydmljZXMxGjAYBgNVBAMMESouY2RuLm1vemlsbGEubmV0MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAru1xFmyme1vMGlRasfqcgNSm7u8aLSGaC9HXOb4Jg9nh%2BpZtWC1RTth9S3E5wkLDxJ%2BM0wdBaWMdqh35vTn3TGTDf6J%2Fv%2Bb1JM4Pj4PGcB%2FtfTHoRXoQWsQNO8nndRJu07zv3d62d0fwqTU3NUrZId3CzuugAxEOjXRAweqPEIqSYHdA8MHSUY4DkrzYKtSRkjhUQPoN5CMMcX94Z1AjpOvhBrdHOtvv0IxjZDke5HOjt0bkOwRSltkH8%2BXAJ5eTMwUwfB6kakpXLwZaCQcaSlF18dQ6uQVkSCDcBWLIMsVgFITvUTfw33AHbe%2Fq1YVNYQsQu0tKaI9G0ZPcKR8%2FFQIDAQABo30wezATBgNVHSUEDDAKBggrBgEFBQcDATALBgNVHQ8EBAMCBaAwVwYDVR0RBFAwTocEQQjzXIIiZG93bmxvYWQtaW5zdGFsbGVyLmNkbi5tb3ppbGxhLm5ldIIRKi5jZG4ubW96aWxsYS5uZXSCD2Nkbi5tb3ppbGxhLm5ldDANBgkqhkiG9w0BAQsFAAOCAQEAaV9baN1EhIwcgjebTrDAx38E3yI7XSXh%2F2PsVdnjHL%2Fw2yaTIWXN1GibyYrISBQwHjUJMDn3ZVmCj8e0GaJj%2BWMQ5PhL0wFUzRtfW8DOEHrzKVf3ZtI00Ym8PSHtimUt7jLRndHjaz%2FXFGCVYausnMEVetNfeKw%2BQYnmqYtLl5fJAyw5GulGrQVhqCX8BveKVmdl9zkIVwNDdywmfOVUYJORyareHXwbiKhn3QovUxe3%2ButUNHTemtKTVh8mcksd0x1xo6P2boHp4dnFN82vFil97SMcWpc3QYWffAijsBwLopx3tyVHUDRcHNzcPNopxqc8qaUTyVuYPZEh%2BRNDPA%3D%3D&amp;cert=MIIDmzCCAoOgAwIBAgIJQQAAAAFbqSn5MA0GCSqGSIb3DQEBCwUAMFYxGTAXBgNVBAoMEEFPIEthc3BlcnNreSBMYWIxOTA3BgNVBAMMMEthc3BlcnNreSBXZWIgQW50aS1WaXJ1cyBDZXJ0aWZpY2F0aW9uIEF1dGhvcml0eTAeFw0wODA5MjYxODE2MjVaFw0yODA5MjExODE2MjVaMFYxGTAXBgNVBAoMEEFPIEthc3BlcnNreSBMYWIxOTA3BgNVBAMMMEthc3BlcnNreSBXZWIgQW50aS1WaXJ1cyBDZXJ0aWZpY2F0aW9uIEF1dGhvcml0eTCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAK7tcRZspntbzBpUWrH6nIDUpu7vGi0hmgvR1zm%2BCYPZ4fqWbVgtUU7YfUtxOcJCw8SfjNMHQWljHaod%2Bb0590xkw3%2Bif7%2Fm9STOD4%2BDxnAf7X0x6EV6EFrEDTvJ53USbtO8793etndH8Kk1NzVK2SHdws7roAMRDo10QMHqjxCKkmB3QPDB0lGOA5K82CrUkZI4VED6DeQjDHF%2FeGdQI6Tr4Qa3Rzrb79CMY2Q5HuRzo7dG5DsEUpbZB%2FPlwCeXkzMFMHwepGpKVy8GWgkHGkpRdfHUOrkFZEgg3AViyDLFYBSE71E38N9wB23v6tWFTWELELtLSmiPRtGT3CkfPxUCAwEAAaNsMGowDwYDVR0TAQH%2FBAUwAwEB%2FzA1BglghkgBhvhCAQ0EKBYmezQxOEU5RTAzLUQxMDMtNDNDMC04RDlBLTI1NTBCOEVDOTQ0RX0wCwYDVR0PBAQDAgIEMBMGA1UdJQQMMAoGCCsGAQUFBwMBMA0GCSqGSIb3DQEBCwUAA4IBAQAyTGpDY8PUcwibBb0m%2BEJ%2BidMXwv%2Fxifa6me6UZ6gQzH9z8uwxR3YcCES2QRgIZR9PgZTe%2F0aDBP1hkIAqQWu%2BFB2pRmyEGRjkJ7keVgB2MzzCaBeIPffA5%2BE1fHvFOzbqtvWgKh4vFPcQupB4K0b1YK2sWri6%2FmvDQVRV%2FSATm9qsVfzmin5QTj%2BtqeZ4Wuhlme6novKeqL4B7kNrHrYFDeQxZ29dFP2lVLkKgc2FuRjjT%2FfChRX%2FuZW%2B3vyzza0PI%2FuVKaiMtxHinL765dFOF29WWCp8BeQEOknjhSIDy8NYMqeqD%2BAvuMkXxD8wbFahYN61NfqV9VwMhNvWv7z3 this] </li></ul>",mac-os;desktop;privacy-and-security_1;firefox-810;,firefox,privacy-and-security,en-US,1357354;1357369;1357370;1357371;1357372;,elvey
1308126,2020-10-11 14:27:32 -0800,2020-10-11T15:51:20Z,Download module,"<p>Hi, If I opened the  tools-download module on my mac , I can't find the close menu Red-Yellow-Green mac button I have to quit Firefox to close the windows ""download"". Can we modify this please,.    Sample: in Waterfox it's working fine. Pmaya </p>",mac-os;desktop;fix-problems;firefox-810;,firefox,fix-problems,en-US,1357355;1357359;,pmaya007
1308123,2020-10-11 14:05:21 -0800,2020-10-11T14:21:05Z,Recovering browsing history,"<p>I have been using Firefox on a new computer since May 2018. I always had the setting for saving my browsing history turned on. Unfortunately, I have recently discovered that I can only view the history of the last 6 months (February 15 to today). Does this mean Firefox deleted the history from May 2018 to January 2020 unbeknown to me? Is it a matter of setting the <strong>places.history.expiration.transient_current_max_pages</strong> parameter in about:config to a certain level? I was able to set this parameter to a higher level now, but it did not help to recover the history. Is there any other way? </p>",windows-7;desktop;privacy-and-security_1;firefox-810;,firefox,privacy-and-security,en-US,1357330;,per.ann
1308122,2020-10-11 14:00:41 -0800,2020-10-11T14:25:42Z,Cant sign in cant sync cant reset,"<p>When I go to sign in, The confirmation email we sent to sxxxx1@gmail.com was returned and we’ve locked your account to protect your Firefox data.  I can't reset Your email was just returned.  What the heck is going on?  My password is correct i use roboform password manager </p>",desktop;sync;windows-10;firefox-810;,firefox,sync,en-US,1357332;,svan71
1308120,2020-10-11 13:52:05 -0800,2020-10-11T15:49:55Z,How to force Firefox to search localhost prior to searching the internet.,"<p>I am building a new website on an Ubuntu 20.04 server with a LEMP stack. To test the web server (nginx) I set up a simple test site named <a href=""http://nginxtest.com"" rel=""nofollow"">nginxtest.com</a>. Nginx server block tests are successful and there are no errors in any logs, so it appears that it is working properly. However, when I attempt to show the site by putting the site name into Firefox, all I get is a notice from Verizon that it has no knowledge of the website (which it shouldn't as it's not a registered name).  </p><p>I want FIrefox to search localhost for my test site, but the only way I can make it work is to change  the network-dns-native-is-localhost setting to true (default is false) in the about:config settings.  When I change that setting, my test site pops right up, but then I can't reach any site on the internet. </p><p>How can I force Firefox to direct web searches to localhost before going out to the internet? </p>",linux;desktop;other;firefox-810;,firefox,other,en-US,1357358;,wrknight
1308119,2020-10-11 13:38:01 -0800,2020-10-11T13:47:35Z,[deleted],<p>[deleted] </p>,desktop;other;windows-10;firefox-810;,firefox,other,en-US,1357318;,email80
1308118,2020-10-11 13:33:34 -0800,2020-10-11T14:59:36Z,add on,<p>i added the gaelspell addon but can not figure out how to actually use it ? anyone any idea? im loosing my mind here </p>,desktop;customize;windows-10;firefox-810;,firefox,customize,en-US,1357340;,belthazora.mcdonald
1308116,2020-10-11 13:28:39 -0800,2020-10-11T14:32:09Z,How to recover bookmarks-pages deleted by mistake ?,<p>How to recover bookmarks-pages deleted by mistake ? And where will I find your answer ? </p>,desktop;tabs;windows-10;firefox-810;,firefox,tabs,en-US,1357333;,Didiervd1
1308114,2020-10-11 12:51:21 -0800,2020-10-11T14:46:07Z,Primary Password,"<p>The quick version of my question: Why does my Yahoo email readily open on most devices without prompting for the Primary Password? I'm not particularly tech savvy but I've looked and I haven't created any exceptions that would allow opening my email to be bypassed from the PP. Longer version: I use MF as my preferred browser and I have many websites bookmarked to which my passwords are autofilled. I work from home but I am my replacement at her office location. I was alarmed to find that when I brought up an MF browser on desktops at the office location, there were my bookmarks along with the ability for anyone to effortlessly login to a given website since the passwords were saved. to remedy, I tuned off Sync, but that didn't seem to solve the problem as my bookmarks were still exactly and easily accessible. Then I created a Primary Password on the two desktops at the remote office location, as well as several devices in my home. The puzzle is that Yahoo opens with no problem when I select that bookmark. I don't get prompted for the PP until I open another browser page. Also of concern: when I select a password protected bookmark, I can manually enter my login and see my sensitive account information if I just keep clicking on Cancel when the PP prompt appears. Is that because knowing the password ""overwrites"" the security of the PP? </p>",windows-7;desktop;privacy-and-security_1;firefox-810;,firefox,privacy-and-security,en-US,1357336;,cheryl711
1308112,2020-10-11 12:10:11 -0800,2020-10-11T15:03:16Z,logins and password,"<p>why does the logins and passwords page show  <a href=""https://account.live.com"" rel=""nofollow"">https://account.live.com</a> as the website? This is a microsoft web page. Doesnt firefox  lockwise use its own service. Every time I reboot my computer firefox requires I log back in and and a page appears to set up firefox. I do it and it still appears every reboot. My preference such as menu bar and book mark disappears after each reboot. My most visited sites is blank until I dismiss one of the listed sites. This all use to work but now doesn't. </p>",desktop;privacy-and-security_1;windows-10;firefox-810;,firefox,privacy-and-security,en-US,1357343;,annh1
1308109,2020-10-11 11:51:19 -0800,2020-10-11T11:51:19Z,Netgear router login with Firefox,"<p>My Nighthawk X6 R8000 router is accessed via (<a href=""http://routerlogin.net/start.htm"" rel=""nofollow"">http://routerlogin.net/start.htm</a>)  Firefox will not open my netgear router page. It re-directs to <a href=""https://www.netgear.com/home/products/networking/routerlogincom.html"" rel=""nofollow"">https://www.netgear.com/home/products/networking/routerlogincom.html</a> which says ""You may not be connected to your Router’s WiFi network. To access <a href=""http://routerlogin.com"" rel=""nofollow"">routerlogin.com</a>, your device must be connected to your Router’s WiFi network. Check your current connection and try again..)  Other browsers, Edge, Chrome and Brave work fine and the pc is on the network. This only happens on Firefox. Any ideas? </p>",desktop;other;windows-10;firefox-810;,firefox,other,en-US,"",keithpierce7
1308104,2020-10-11 11:22:09 -0800,2020-10-11T15:05:04Z,speed dial or bookmark,<p>Where is it? </p>,desktop;bookmarks;,firefox,bookmarks,en-US,1357344;,rcohen464
1308103,2020-10-11 11:20:03 -0800,2020-10-11T15:06:34Z,where can I store frequently visited sites?,<p>Where can I store favorite sites? </p>,desktop;bookmarks;,firefox,bookmarks,en-US,1357345;,rcohen464
1308102,2020-10-11 11:15:00 -0800,2020-10-11T15:07:35Z,speed dials and bookmarks,<p>Where do I find these on Firefox? </p>,desktop;bookmarks;,firefox,bookmarks,en-US,1357346;,rcohen464
1308100,2020-10-11 11:00:27 -0800,2020-10-11T11:00:27Z,Mozilla Firefox,<p>En cuanto actualizo a la versión actual pierdo los Certificados Digitales de España y que sirven para conectar con los Organismos Oficiales para obtener documentos por Internet y además aunque se soliciten de nuevo no funcionan. Esto tiene solución? Un saludo y gracias. </p>,desktop;privacy-and-security_1;windows-10;,firefox,privacy-and-security,es,"",juancchilla
1308098,2020-10-11 10:46:29 -0800,2020-10-11T22:16:48Z,video Streaming,"<p>Hello, </p><p>I try to see some videos on stream, and show this error code : hls:networkerror_manifestloaderror i reinstal my computer and still appears , you can help me ? </p>",desktop;fix-problems;needsinfo;windows-10;firefox-810;,firefox,fix-problems,en-US,1357392;,danielopes2
1308095,2020-10-11 10:35:53 -0800,2020-10-11T11:53:24Z,YouTube audio/video playback suddenly suffering repeat microstuttering,"<p>So, starting yesterday (10/10/2020) Firefox suddenly began having playback issues on YouTube in the form of very obnoxious and repeat micro-stuttering. I'm not sure what caused this because the version of Firefox was installed over a week ago (81.0.1), and nothing changed before this happened. But here's the thing: my laptop has the same version without suffering stutters. It's only happening on my desktop. I've updated windows, updated flash, cleared cache, updated drivers, turned off vp9 stuff, installed add-on h264ify -- I've done every solution I could find to fix this and it refuses to fix. It keeps happening. </p><p>I'm sharing data below to see if you guys can spot anything wrong with the browser itself. </p>",desktop;other;windows-10;firefox-810;firefox-8101;,firefox,other,en-US,1357293;,MiniKoontzy
1308094,2020-10-11 10:15:17 -0800,2020-10-11T14:39:19Z,make Firefox  my default browser,<p>how can I make Firefox my default Browser </p>,desktop;other;windows-10;firefox-810;,firefox,other,en-US,1357335;,dukeswampy
1308093,2020-10-11 10:08:09 -0800,2020-10-11T10:30:24Z,Bug - Firefox stops computer from hibernating.,"<p>Windows 10 Home Version 2004 (OS Build 19041.508) Alienware 15R4  Firefox 81.0.1 64-bit </p><p><br> I used to be able to leave Firefox on without it affecting whether or not the computer's hibernation setting works, but now Firefox is keeping the computer awake.  There isn't a video or song playing on Firefox so i don't know why it would keep the computer awake. </p>",desktop;other;windows-10;firefox-810;,firefox,other,en-US,1357281;1357282;,markfleener
1308092,2020-10-11 10:01:45 -0800,2020-10-11T15:08:46Z,FIrefox 81.0.1 consumes RAM until computer freezes,"<p>Firefox 81.0.1 consumes RAM until my computer freezes. High RAM consumption was always a problem with Firefox, but the recent update seems to be much worse.  Why can't Firefox release memory like all other high resource programs?  After about 30 minutes it's consuming 2GB, and my 8GB RAM gets maxed out.  I use very few plug-ins and no frills in the browser. </p>",desktop;other;windows-10;firefox-810;firefox-8101;,firefox,other,en-US,1357347;,genari1
